id,english,russian
125907E742340588589387B008A82D0D#45F4748B,A barrel with explosive and flammable material inside.,"Бочка, заполненная взрывчатым и легковоспламеняющимся материалом."
3129CB644CCB4632F8263F98F42306F6#45F4748B,A barrel with explosive and flammable material inside.,"Бочка, заполненная взрывчатым и легковоспламеняющимся материалом."
9175CB83431F18F9C0AE9EA4AC929FAC#45F4748B,A barrel with explosive and flammable material inside.,Бочка с взрывоопасными материалами.
DB1FC7FE446264B6D98DDD903AE01D8E#45F4748B,A barrel with explosive and flammable material inside.,"Бочка, заполненная взрывчатым и легковоспламеняющимся материалом."
9A50D33B46702FFDE1F558A52358EDB7#A7F93A6D,"A basketball hoop, another fun activity","Баскетбольное кольцо, ещё одно весёлое занятие"
0F77B4E74AC1D9B2F23AEF9877A0C248#0CD52436,"A basketball hoop, another fun activity.",Баскетбольное кольцо — ещё одно развлечение.
2CCD067C480145B61698C2AA115012F7#0CD52436,"A basketball hoop, another fun activity.","Баскетбольное кольцо, ещё одно весёлое занятие."
4E34DDF849C0C5CAE69888B70AF2D6B3#0CD52436,"A basketball hoop, another fun activity.",Баскетбольное кольцо — ещё одно развлечение.
63BD1666425A8A2F2D93859C427F4F6E#0CD52436,"A basketball hoop, another fun activity.",Баскетбольное кольцо — ещё одно развлечение.
9907C5F74F5A67B0C20D8991ADA90177#0CD52436,"A basketball hoop, another fun activity.",Баскетбольное кольцо — ещё одно развлечение.
FEE85D734DDA6E54A6EBF1BFD64E9A80#0CD52436,"A basketball hoop, another fun activity.",Баскетбольное кольцо — ещё одно развлечение.
30CE1C3045C93247CFD290A7C41E1DD2#2FEB9EE3,"A batch of new objects, improved farmable plants logic, explosions tinnitus test","Партия новых объектов, улучшенная логика выращиваемых растений, тест шума от взрывов (тиннитус)."
1601B0C348F770C95B286D8786317E2A#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
28CEB6244D723293A783E2837CF0C0BD#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
2C3FF2A24E88624ECEFE2CA2421C788B#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
4FCB1E434184196C543D5C9861FF283E#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
5B1426DB4EA1AA8B1E23DDA2D1041E68#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
6136F4504551C63AB0619E84EADFD8B1#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
71F078C6454E0397C6B8DD9673D96F32#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
736EF1D04ABCE7077C128B9CD609638C#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
7BF17B1B42A0954AE2CAFB8DBE7F5BAB#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
82D6DB5E42CB5C4B39D53C9658AD979E#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
84B161A64F677F3A93DE87B6D7BBFB37#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
A8A98FC94F391EF888D8CDB8809E93E2#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
DFCB92D746F69C72E574CB9D0411FD47#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
E391B9074747C751565FA0B71A5D5967#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
E66FA292458C09CE3592F0BB3DDCBB2A#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маячок, показывает метку на цифровой карте и встроенной миникарте квадроцикла."
FE3FD7AE48FF17BD4426ADBD6E2FA5BC#4C06E476,"A beacon, displays a waypoint on the digital map and the built-in ATV minimap.","Маяк, отображает точку на цифровой карте и встроенной мини-карте квадроцикла."
4E80AB724454539106455D946D8A0595#D4E88A60,A beacon. displayed on the digital map and the ATV built-in minimap,Сигнальный маячок. Отмечается на цифровой карте и мини-карте квадроцикла
C52CCA564D9893A7CE4E92939B5BD250#8FC17F39,"A below average quality mattress.

50% stamina restoration","Матрас ниже среднего качества.

Восстанавливает 50% выносливости."
7DC02DD141FAA22272D86AA9929003EF#15E59BDC,"A big  brown couch, has 2 sit slots","Большой коричневый диван с двумя местами, чтобы сидеть"
E84F2A004250D925D04E1F9906A023DD#15E59BDC,"A big  brown couch, has 2 sit slots","Большой коричневый диван, имеет 2 места для сидения."
7FD21D404CA6026C1083C8876BC8ADB3#9C7EDF10,"A big 125x40x250 cm heavy bookshelf, stores books and items like an ordinary bookshelf","Большой тяжёлый книжный шкаф 125×40×250 см, хранит книги и предметы как обычный книжный шкаф."
AD34B3E84CCE1EA6C40C54946DD377EA#9C7EDF10,"A big 125x40x250 cm heavy bookshelf, stores books and items like an ordinary bookshelf","Большой тяжелый книжный шкаф размером 125x40x250 см, хранит книги и предметы как обычный книжный шкаф"
EB4087E04283A41876DC63B6A5E9DAF1#9C7EDF10,"A big 125x40x250 cm heavy bookshelf, stores books and items like an ordinary bookshelf","Большой тяжёлый книжный шкаф 125×40×250 см, хранит книги и предметы как обычный книжный шкаф."
D19BE19A40EA2480DEC20BA1763B66BA#AE662F17,"A big box, allows to sell items for extra points. Sells similarly to drive box through the drone.","Большой ящик, позволяет продать предметы за дополнительные очки. Используется для продажи так же как и ящик с дисками через дрона."
DD5C9FDF44FF8744CF719CACF70CD730#AE662F17,"A big box, allows to sell items for extra points. Sells similarly to drive box through the drone.","Большой ящик, позволяет продавать предметы за дополнительные очки. Продаёт вещи аналогично ящику Drive Box через дрона."
05D110524BCE4118744BD3B1F5DCC93A#9FB8CE5A,A big bush in a flower pot.,Большой куст в цветочном горшке.
44A16D4249C22F89C8CEEF83AD9BB6DA#9FB8CE5A,A big bush in a flower pot.,Большой куст в цветочном горшке.
A431836D4E5E5FD3C38B21870E6AE43B#9FB8CE5A,A big bush in a flower pot.,Большой куст в цветочном горшке.
62D96E6741E249B522F6BF9106A457C8#AEF6C776,A big knife of unknown origins.,Большой нож неизвестного происхождения.
8E83874F4A2A2068197B78A8DC9FC0FC#BCEC6EC4,A big piece of coal,Большой кусок угля
F95752344C69C1398B0B63AD87F67B59#BCEC6EC4,A big piece of coal,Большой кусок угля
74AE382B40EBBB97C3729FBB2FBE61A3#965EAF8B,A big piece of high quality medium-hard cheese,Большой кусок высококачественного сыра средней твердости
139FE86940006D7C9B6E57B182676E24#2C45214E,A big sturdy wooden garden table,Большой прочный деревянный садовый стол
72D7EA4549F3874ECE96CB9EA9A60176#E76C589C,"A big tomato, can be eaten or chopped into pieces","Большой помидор, можно съесть или порезать на ломтики"
6FE7348A4815F79AFE7C47885589C1EA#6CBBE225,"A big watermelon, cannot be eaten by itself but it can be chopped into pieces","Большой арбуз просто так не съесть, его нужно нарезать на кусочки"
1ABF77014A4AD54F520DBBBD76BED766#75B08283,"A black whiteboard pen, draws on a whiteboard","Чёрный маркер для доски, рисует на белой доске."
38370E96496AC866B0A6B392D5DC7FCF#62A80AD4,"A block of poop water, improved EMF reader sensor, starfall","Блок воды с дерьмом, улучшенный датчик EMF-сканера, звёздопад."
1AB5B02848C4C5D45C66349F9B4A09F7#E0AA8CD9,A blue plastic crate for small things and object,Синий пластиковый ящик для мелких вещей и предметов
7B594C7642B5787E9DE544BC960DBE3F#E0AA8CD9,A blue plastic crate for small things and object,Синий пластиковый ящик для мелочей и предметов.
F4045D764DDC991E7BCDE69B850ADF78#E0AA8CD9,A blue plastic crate for small things and object,Синий пластиковый ящик для мелочей и предметов.
F9713EA9414A97F0469A6385F6BF8EB0#9D24DD86,"A blue whiteboard pen, draws on a whiteboard","Синий маркер для доски, рисует на белой доске."
5AFF3B7E4D6F01904BDFE6ADB755E6E6#2667DABB,"A blueprint, contains a crafting recipe for a beehive box","Чертёж, содержит рецепт крафта ульевого ящика."
07E8FB4144E4310F4D3544A06B3B906D#818E0808,"A blueprint, contains a crafting recipe for a portable EMF device","Чертёж, содержит инструкцию для создания переносного ЭМП устройства"
551EE72445A5F5B57E7D299A49836BAE#2338F338,"A blueprint, contains a crafting recipe for a portable Geiger device","Чертёж, содержит рецепт крафта портативного счётчика Гейгера."
B0705BF1413C38E975A3D2A7E80A3EDA#37589EBE,"A blueprint, contains a crafting recipe for a portable metal detector","Чертёж, содержит рецепт крафта портативного металлоискателя."
7B5233024E6829C87A5FE5BF56052FA1#0E48C4DE,"A blueprint, contains a crafting recipe.","Чертёж, содержащий рецепт крафта."
EE7ACFF0434A67E75F72EC8B983A2E39#0E48C4DE,"A blueprint, contains a crafting recipe.","Чертёж, содержит рецепт крафта."
642CCD7743D405CDFDC05DA477696C02#620F6AE4,"A bomb made out of a steel pipe, filled with explosive.","Бомба из стальной трубы, наполненная взрывчаткой."
6F6FF9C3451FD78B35C618A8717F23DC#620F6AE4,"A bomb made out of a steel pipe, filled with explosive.","Бомба из стальной трубы, наполненная взрывчаткой."
000FE9AE4294CEFA9FB5DA8FDE6BBED9#59889626,A bone.,Кость.
00E5D345440F8806894D2E9B0BB59340#59889626,A bone.,Кость.
021D48894572236EA370888803A85239#59889626,A bone.,Кость.
025D27D54DA331AAF7B041A7332C183C#59889626,A bone.,Кость.
028756834533C2B060B0849E0F830C85#59889626,A bone.,Кость.
0484F2C14CD6632C308E84852DE1C9CA#59889626,A bone.,Кость.
04F764774494FDE545DAC49CB974B369#59889626,A bone.,Кость.
060A056A4575717B95201FB4FECDEC8A#59889626,A bone.,Кость.
0632CD5A4540E180D6AE0AAF041A409F#59889626,A bone.,Кость.
06EC729243EB91096593F3BDFD76582E#59889626,A bone.,Кость.
06F0140E4955C49D1F7830B7026FBB7D#59889626,A bone.,Кость.
0729568340E394FBAA21D0950A1AA0DD#59889626,A bone.,Кость.
079CAAB74ADF07FACDEA5C9678367FF3#59889626,A bone.,Кость.
07A978AA40FDB72824A63EB5396696C2#59889626,A bone.,Кость.
0850BFAD4E443E32B6B15FB3B949948F#59889626,A bone.,Кость.
091B7C2049CCA599BDCD0E9E307C6CDD#59889626,A bone.,Кость.
0A3ADE7C447A75FEC8309CBD22236304#59889626,A bone.,Кость.
0AFA705E4A96AB4AD24F3792764154D9#59889626,A bone.,Кость.
0B064BF24A45BC05F7C964B0BCD28479#59889626,A bone.,Кость.
0B3F12844932EE9F15FC21B055FCFFC5#59889626,A bone.,Кость.
0D4596F64F15F3619CD6FCB06773EE41#59889626,A bone.,Кость.
0E172BDC4FEF68D11E349AB8662AB5D9#59889626,A bone.,Кость.
0E55A74E42F3F0185F3140B091DD59DC#59889626,A bone.,Кость.
0F05C01C4166C25C584429A7616F567A#59889626,A bone.,Кость.
10238BC745837286F4127E85C2686A1F#59889626,A bone.,Кость.
1104372A458537716FE31BB1A1DED402#59889626,A bone.,Кость.
1130FF33417BA62DE280FBA4499D5AA7#59889626,A bone.,Кость.
115CEC264B400A51A0574C92D230F28A#59889626,A bone.,Кость.
11840EBE448CD4BC00B01EB956A05215#59889626,A bone.,Кость.
11A44A7F4B1CF9900354D59498F8B35B#59889626,A bone.,Кость.
11F2652241C3461E67315AB8A9040282#59889626,A bone.,Кость.
124975FA495822D9B19757942ADC0122#59889626,A bone.,Кость.
12558298495CD9C3DEBDBB9929510E30#59889626,A bone.,Кость.
12AD1AF24D30D5964856EC9DED3597E8#59889626,A bone.,Кость.
141E26B14772AF959EAA86BBE7CE7B7F#59889626,A bone.,Кость.
1441BB434500D5FE53808BB746328724#59889626,A bone.,Кость.
153D30F44931F9CE654DF7BA226DB387#59889626,A bone.,Кость.
18DD2AEF4DC71C668B7C8E946A749A43#59889626,A bone.,Кость.
18E2A7D24A5CFB42FE1F0AA48DA0913A#59889626,A bone.,Кость.
1933178D4B3E2A721E0E6AA8C16201D6#59889626,A bone.,Кость.
1B514CA44C2572347FDE34B94415BF40#59889626,A bone.,Кость.
1BC3986E4D8118273B9989847BE711BC#59889626,A bone.,Кость.
1C04024845ADCD2D93709697DE369C23#59889626,A bone.,Кость.
1D5208C6412DF9C4A74952A5917D881A#59889626,A bone.,Кость.
1DA67D8E4C6514DF69289B9E96330352#59889626,A bone.,Кость.
1E4DB739401E355EBC0F8CBA2F4F168C#59889626,A bone.,Кость.
1E53B6BB489B4F7DA26231ACEC561417#59889626,A bone.,Кость.
1F0569AC40E557D4D5B5DFA4618E2CA2#59889626,A bone.,Кость.
21E7419641CA5170059163BAA363CF5F#59889626,A bone.,Кость.
236916A34FC40CD499134387B0C5C00A#59889626,A bone.,Кость.
243873C54F16FF1190265CAF259A8119#59889626,A bone.,Кость.
24FBEB004C94258321C149A41493BD6A#59889626,A bone.,Кость.
2563160D448BA8A422A2788ACAF305B8#59889626,A bone.,Кость.
2624C65A4A9BDA0F13E1EEB410674CD8#59889626,A bone.,Кость.
2631A06E415B919B8A29158E1411BD80#59889626,A bone.,Кость.
26549A5044A42C73DD7794B74C9BC454#59889626,A bone.,Кость.
26C25B6D443128EAFC8E8C80282FC446#59889626,A bone.,Кость.
2803E54B449B367AE711E888546BEC63#59889626,A bone.,Кость.
294E1E5A43385D3B1D3A9780B6347538#59889626,A bone.,Кость.
29C9FC8241098C34A46402A7AA0FFA82#59889626,A bone.,Кость.
2A959B6F41F1C262092FF7B8F060680F#59889626,A bone.,Кость.
2B23564748DBE9FA3195AC931A334E14#59889626,A bone.,Кость.
2B72606E493E515730BA2DA5C9CAA7FF#59889626,A bone.,Кость.
2BDC2B8542521C35A85A8387CC41ECB9#59889626,A bone.,Кость.
2C5D0F8D4303641B3ADDEB8B745D29E5#59889626,A bone.,Кость.
2D02AE3447FBAD531532A89BF01A6011#59889626,A bone.,Кость.
2DE6F3E04A6337E7186E1FB2B361D671#59889626,A bone.,Кость.
2F49F224467656BF285F709BDC4EC3EC#59889626,A bone.,Кость.
2FC3938F474E98C87D817F80C430B888#59889626,A bone.,Кость.
2FEA6DE54F46435BF1C0FD85A63829AE#59889626,A bone.,Кость.
30435B5F4F170EEAB51002981F9F77A8#59889626,A bone.,Кость.
30DF9E6A417F2E38F8C9A685136D4FED#59889626,A bone.,Кость.
336C6DA04BB365872E26DE87CAC873B8#59889626,A bone.,Кость.
33737B87424B0CBC201E4E9A614FF456#59889626,A bone.,Кость.
3503886A478780FED818B9A7FCBF2ABB#59889626,A bone.,Кость.
357CE622480A589E13D23892F911D1CA#59889626,A bone.,Кость.
360963AF435524AF9D91559108B68AEA#59889626,A bone.,Кость.
370A0BA9431F9E1F1AB9B4860C8A5CEB#59889626,A bone.,Кость.
376495524FCBCAB32399DD842268C4A8#59889626,A bone.,Кость.
37F76F644EC8FBDB6B04D2B44BB04DCE#59889626,A bone.,Кость.
382F63AD4FAD7CB8E41BBD9D41E10042#59889626,A bone.,Кость.
388AC70441DE4AA1CB87AFBBBA6ACED6#59889626,A bone.,Кость.
39691E784685FB253306E08C0A664751#59889626,A bone.,Кость.
3A72349C434784433CFDAB8493994E39#59889626,A bone.,Кость.
3AAAECF746CC8FBE955B62B38F1155F2#59889626,A bone.,Кость.
3AAE2F1A4F3546D4EBA68AB359F80247#59889626,A bone.,Кость.
3AB08D4A4798830826E182A3362903CC#59889626,A bone.,Кость.
3AD5133943D57FC418CAD49DE0D67C7B#59889626,A bone.,Кость.
3B9D3E79434367A5DF43D9B10DC54DF5#59889626,A bone.,Кость.
3C430AE9450FC30413E340841751BF57#59889626,A bone.,Кость.
3CF2FE7342BB9826081CBFA919812099#59889626,A bone.,Кость.
3D8CA65F465C5000343B1ABA37691621#59889626,A bone.,Кость.
3DA896924A43EE06B6F3988D114F2571#59889626,A bone.,Кость.
3FF231BE409C1945BABC0F85903FA35E#59889626,A bone.,Кость.
40394CFE409773DBA7996A84A776A675#59889626,A bone.,Кость.
40DF09FA4BE891648B62C59FBBD443C7#59889626,A bone.,Кость.
41D5EF3A4966F2883997EFB6E29FC111#59889626,A bone.,Кость.
448078DE40B7E16919C197A5EECEEFE6#59889626,A bone.,Кость.
45571FF14007EDE1D45FD8BB3E01F248#59889626,A bone.,Кость.
458E81054906FBF835F97FB05EE94242#59889626,A bone.,Кость.
47BD4512439DCEDFEE58C6B0214B2B1D#59889626,A bone.,Кость.
47F610CF4A7E74EAD601E58327A3971D#59889626,A bone.,Кость.
48901F8849EC0A0198F0A3897954F9F0#59889626,A bone.,Кость.
48C454254BECA77694E193B83811DB73#59889626,A bone.,Кость.
48CEB347465C31C2349D1BAF41D721C2#59889626,A bone.,Кость.
48E7B1124E33C6576463798479D9A51B#59889626,A bone.,Кость.
48F4FDDC4569AC3231424AA446795A46#59889626,A bone.,Кость.
4BB9A09C4C50C087219786997BB079BC#59889626,A bone.,Кость.
4D3573504218092C3CF59F845905E8AB#59889626,A bone.,Кость.
4D8AF27845E6837374FCCA916A44A607#59889626,A bone.,Кость.
4DF894D34226D43054AC6996B3625E1D#59889626,A bone.,Кость.
4F2E24A645C6FFDD62F1B8A7E24DAAF2#59889626,A bone.,Кость.
5084D27044C657B716C7AC958AB642C7#59889626,A bone.,Кость.
50CF49B74A4A3F0EBDA0248BF502901D#59889626,A bone.,Кость.
5157048845DFC7421959BEAC943F8065#59889626,A bone.,Кость.
516F53B04BFADA4BE156EB9EA4A615DA#59889626,A bone.,Кость.
517EE68845A1A8ACEFF7098448459CDB#59889626,A bone.,Кость.
522205724B95B63660918BBEFB6FD22C#59889626,A bone.,Кость.
5263F200415AC711F58217BB6E075AF5#59889626,A bone.,Кость.
532852D547AE8F00B5A5BB9E8664F0AC#59889626,A bone.,Кость.
5480F4854CEDCA05BFD87EB1EE570013#59889626,A bone.,Кость.
559BB8D649104D23D7D097BF6120E4EC#59889626,A bone.,Кость.
55A3E18444327FA5E6615FAC231D1F03#59889626,A bone.,Кость.
5610080A492996B30F2A60836539DC49#59889626,A bone.,Кость.
56E16C6A429E5E96F37C5787094699D4#59889626,A bone.,Кость.
575601A74E033F509645A79D25A92817#59889626,A bone.,Кость.
57F2883F4D03603B3D785D8D162C87AB#59889626,A bone.,Кость.
580347CF473E2ED89FF4B283543E6D75#59889626,A bone.,Кость.
58BE061C407B8070182224AD4552B97C#59889626,A bone.,Кость.
58E1641B468848CEDFF0F78435E8927E#59889626,A bone.,Кость.
5A8D92E34B1E341555AA91879026AA85#59889626,A bone.,Кость.
5B2A482245C919CF5EB38FAF47DE0784#59889626,A bone.,Кость.
5B6A494748DE62E31419C19B9DF9F63B#59889626,A bone.,Кость.
5BD5036D4CED80109F4383AA80836D66#59889626,A bone.,Кость.
5BE3B1DF4F2F4F64A985C994E311730D#59889626,A bone.,Кость.
5C34445540ADFE77B2C159A39791B67D#59889626,A bone.,Кость.
5E1A3C324CD80C6ADC09F6B949074323#59889626,A bone.,Кость.
5EF53E8341372BEDA32A05A3BB5E2B4C#59889626,A bone.,Кость.
5F52B3D443DD5E141698F6B3FEB29378#59889626,A bone.,Кость.
5F7A43214945BBBA8E893E88F4FA996B#59889626,A bone.,Кость.
622E3F234E232BD9D303BA8587DCFD66#59889626,A bone.,Кость.
645714AE4D6C991B36EE4BB9BB0C7DD2#59889626,A bone.,Кость.
6494C80F459054D7CF5096B4F948928C#59889626,A bone.,Кость.
651329F24271C592D37432A15F1A8549#59889626,A bone.,Кость.
65ED32814412772B97E41FA8829CE0DC#59889626,A bone.,Кость.
669CDC2E4F9F27FCEA48888F13869F8C#59889626,A bone.,Кость.
66D6D3504D8C2A64B449459DE38B686D#59889626,A bone.,Кость.
66FC3D494AC5BF6E2988E88EE9ADCABD#59889626,A bone.,Кость.
6776B61A435A6F691D0C5D98D31F3F0D#59889626,A bone.,Кость.
679F4DB54C6B7AC4D9C539A5D1D1DF64#59889626,A bone.,Кость.
67ADEA2B47474A5B74A1CDBEE29BE34A#59889626,A bone.,Кость.
687FE360437627A458B62D98DE9DEEF8#59889626,A bone.,Кость.
69613E684160879EF0A41D8234A67E5C#59889626,A bone.,Кость.
696AD91C476AD0D17D5829BD5C3BE3CE#59889626,A bone.,Кость.
6A2C8374411EDC41EA56C992F16C8A5B#59889626,A bone.,Кость.
6BB6639C406E21847FD36EA71E92E3A0#59889626,A bone.,Кость.
6BCD9BD1413C5144C1313A83C4CCFA5F#59889626,A bone.,Кость.
6BDB35504BD303EFB781668E81BB0F73#59889626,A bone.,Кость.
6C8D8170415CF321D5D3DD82D68DF1C1#59889626,A bone.,Кость.
6C9EF64A4AD42AE78CFA38998D08697B#59889626,A bone.,Кость.
6CB37277410973977A72B5AC3B6A121D#59889626,A bone.,Кость.
6E01A63D4E5D1AB21D779CA2639C25CF#59889626,A bone.,Кость.
6E9FC6144EE66D94E6D5F9943E99F4E1#59889626,A bone.,Кость.
6ED5E8D8482A808A467647A556BF52E9#59889626,A bone.,Кость.
6F5860AC42B4B8AEBD3EC4B72B6CBBE1#59889626,A bone.,Кость.
6F6571CC445CACC0A27C3AB07578951B#59889626,A bone.,Кость.
700E31F94987915F12FFD7B13D047337#59889626,A bone.,Кость.
707A12FC414774D0A74C84A666A5D49A#59889626,A bone.,Кость.
70C4014A4DE729349891FE83DC66F28F#59889626,A bone.,Кость.
71799024454915D43CC000841E19AEE2#59889626,A bone.,Кость.
732456CB4E6D5EA5B2A58393B43C1453#59889626,A bone.,Кость.
73904F714B5D14256B858B97BAC85859#59889626,A bone.,Кость.
740AEA2142B2D8751F3192953452780E#59889626,A bone.,Кость.
74E01F3F4E5038C0DC69F8ADE2239174#59889626,A bone.,Кость.
7595EF4840D90AF420FDBF90CAEEF9C3#59889626,A bone.,Кость.
779D8B7A4CE05E5B3DDB58BC531FCF74#59889626,A bone.,Кость.
784616494D781B56C9FF65AA488159DA#59889626,A bone.,Кость.
788F7BA94A6551AD324C3AAE568C61FD#59889626,A bone.,Кость.
79C46C574F13E2AF6454AD99072F746F#59889626,A bone.,Кость.
7A6D11754BC0E6999FC746B78E628CC7#59889626,A bone.,Кость.
7B3BDAE94D90F7E1B1BA6296EDC3B80C#59889626,A bone.,Кость.
7B9D4206400F7A5962A19C875B564142#59889626,A bone.,Кость.
7C442BFB4D71D2AFC20DFCB248902484#59889626,A bone.,Кость.
7D846B2844B1B5BC928734A04DA680E6#59889626,A bone.,Кость.
7DAB162149B9E3B2050B19A7B626D93B#59889626,A bone.,Кость.
7EC161CC444AE4E30E6E709D7C01850E#59889626,A bone.,Кость.
7EF5805D488187AAB8D3ADB999BBFC51#59889626,A bone.,Кость.
7EFD20004A438E1E761D3AA856295A84#59889626,A bone.,Кость.
803A0AAE45D5C9C1280BC4A01D934D0B#59889626,A bone.,Кость.
8075590242287AD26741FF85EEDCB9AB#59889626,A bone.,Кость.
80B6A1CB43774FB43F36AFBD21388729#59889626,A bone.,Кость.
8147CD2845A472B8A39E1B83EAE3B923#59889626,A bone.,Кость.
821341A641E5AE00E36C6B8E0EC94E0D#59889626,A bone.,Кость.
82348BEC45AAEDB266AA908BCA935E11#59889626,A bone.,Кость.
842B2CA847120C2D6C5FDC84A71E7AE2#59889626,A bone.,Кость.
843E5F8E4B0E5970C3708AAA66736A5C#59889626,A bone.,Кость.
8486FE8E4B7636F037ED73A063BD9140#59889626,A bone.,Кость.
84C6A6174290254C903FEBAA4A788E83#59889626,A bone.,Кость.
8543FC134683E3956E4050922365FB67#59889626,A bone.,Кость.
86106A21438D38FDC9D45D9DBC4A368E#59889626,A bone.,Кость.
87755F074BCFA60E3A4A94941F2E5AC6#59889626,A bone.,Кость.
8876A8B24088ED6FB7CDE8BDF2C01FAE#59889626,A bone.,Кость.
88CE7EE54961E549BAA7D29D0F0109EA#59889626,A bone.,Кость.
8A340FC84886DF7C46284FA87801ABB2#59889626,A bone.,Кость.
8C50B23F44C967C13FA1F4B1FBA1CA16#59889626,A bone.,Кость.
8DEE380243A0D81B7F4A85BC1E330952#59889626,A bone.,Кость.
8EB06415406E8B23F745829F382BDBB5#59889626,A bone.,Кость.
8EB57940487B2A29BC62158516C09428#59889626,A bone.,Кость.
8F5212C84A36D284192A8B93A02B64FA#59889626,A bone.,Кость.
91162BD6417F35A202A090A28CC072C9#59889626,A bone.,Кость.
91A7E3924D99789358F18DB05A6BB9AC#59889626,A bone.,Кость.
927869B240ED3E6C01CDA490EE658EDF#59889626,A bone.,Кость.
93BA0BE44D0CC282E57F62BE75D92D65#59889626,A bone.,Кость.
93CBE0B849B9020F7A61EE870F6EEAD0#59889626,A bone.,Кость.
9408FB5A41F05B034F5028B07748B8DC#59889626,A bone.,Кость.
947506FA4363443660F38DB20EC5DA61#59889626,A bone.,Кость.
94CD61144346F107D3A94495E8A350C9#59889626,A bone.,Кость.
9590A3894637C5B9FD6DC9AE78553887#59889626,A bone.,Кость.
95BE99A14D74A5A8D72A99B6A6D01994#59889626,A bone.,Кость.
964BF6A24B9B87A98FC49E98C545F87A#59889626,A bone.,Кость.
973A639A45AF4877A8340888B1D44A98#59889626,A bone.,Кость.
97B8F90144F821ECFBE04793812927F8#59889626,A bone.,Кость.
99143EC442E339DA6D5B23B403131C3A#59889626,A bone.,Кость.
9A4CE9C94039D2ED10C550A08F0984FA#59889626,A bone.,Кость.
9A5DAB604E110B76AEDC54A5899F4420#59889626,A bone.,Кость.
9B4604534752DA4A2618A7A4A4A0659C#59889626,A bone.,Кость.
9B4E0FD54237A666B7B19AB6E31E9599#59889626,A bone.,Кость.
9BC505B74102AF8DAF5C4BABAF0290DE#59889626,A bone.,Кость.
9D619411464C04D1540D04A852495EE6#59889626,A bone.,Кость.
9DE2113B4DAF60EF2AE41A9992ABA5D4#59889626,A bone.,Кость.
9E16604F4EC417ABCE27CC8FE1B4F6C1#59889626,A bone.,Кость.
A0182CA5441F2E98B81FFDB7EF2AB869#59889626,A bone.,Кость.
A0EFC55348C096D2C363AB90884DD3CD#59889626,A bone.,Кость.
A1ACC8584220714E6E7E8D9779250E4D#59889626,A bone.,Кость.
A1AD33A448DED6267FFAC2844C78A665#59889626,A bone.,Кость.
A278E0394BFF1F124C9047840369C09F#59889626,A bone.,Кость.
A2FC5D724DBC98F5CD7B5BBE77A63E76#59889626,A bone.,Кость.
A394D29F4F531630AE953DB352C2C307#59889626,A bone.,Кость.
A3A17779473559719EF5B8985261E4C1#59889626,A bone.,Кость.
A4372BB144E6E973695BAE894DDD5198#59889626,A bone.,Кость.
A45F5FF04048523BF8841C98AE1F9013#59889626,A bone.,Кость.
A4DDA33841279F585111ABB22D4FD8A1#59889626,A bone.,Кость.
A579C3154D1555BA46A5C5B2004ED4DE#59889626,A bone.,Кость.
A60AE2824EB900D98A8C0A96F79F9DB2#59889626,A bone.,Кость.
A66837F346322548F9AF50B085FCC4F3#59889626,A bone.,Кость.
A6E437FA4610BB2DF65EE18F7FC2B950#59889626,A bone.,Кость.
A77477FB4A4367D7E96D3A9960160DDC#59889626,A bone.,Кость.
A956827647622B5161BADD9120E22054#59889626,A bone.,Кость.
